title,platform,genre,developer,publisher,image
007: Everything or Nothing,Xbox,Action,EA Canada,Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1841792-box_eon.png
007: Nightfire,Xbox,Action,Gearbox Software LLC,Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1841797-box_nightfire.png
007: Racing,PlayStation,Action,Eutechnyx Limited,Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1779926-box_007racing.png
10-Yard Fight,Nintendo Entertainment System,Football,Irem Corp.,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361099-nes_10yardfight.jpg
1942,Nintendo Entertainment System,Shoot 'Em Up,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/7/73970/3249467-1942_nes_2_1_us.jpg
1943: The Battle of Midway,Nintendo Entertainment System,Shoot 'Em Up,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/7/73970/1293818-1943.jpg
3-D Tic-Tac-Toe,Atari 2600,Strategy,Atari,"Sears, Roebuck and Co.",https://www.giantbomb.com/a/uploads/square_avatar/0/5278/288460-3d.jpg
6-Pak,Genesis,Compilation,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/0/1992/1382917-6pak.jpg
8 Eyes,Nintendo Entertainment System,Action,Thinking Rabbit,Taxan USA Corp.,https://www.giantbomb.com/a/uploads/square_avatar/0/3509/693655-8eyes_nes_na.jpg
A Boy and His Blob: Trouble on Blobolonia,Nintendo Entertainment System,Puzzle,Imagineering Inc.,Absolute Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361184-nes_boyandhisblob.jpg
A Game of Concentration,Atari 2600,Puzzle,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/0/5578/907222-b_gameofconcentration_color_front.jpg
Abadox: The Deadly Inner War,Nintendo Entertainment System,Shoot 'Em Up,Natsume,Milton Bradley Co.,https://www.giantbomb.com/a/uploads/square_avatar/2/23093/2972907-9985772468-48831.jpg
ABC Monday Night Football,Super Nintendo Entertainment System,Football,Kuusou Kagaku,Data East Corporation,https://www.giantbomb.com/a/uploads/square_avatar/13/137417/2363918-abc_monday_night_football__na_.jpg
ACME Animation Factory,Super Nintendo Entertainment System,Minigame Collection,Probe Entertainment,SUNSOFT,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2363109-snes_acmeanimationfactory.jpg
Actraiser,Super Nintendo Entertainment System,Action,"Quintet Co., Ltd.",Enix Corporation,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2363111-snes_actraiser.jpg
Advance Wars: Dual Strike,Nintendo DS,Strategy,"Intelligent Systems Co., Ltd.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2830784-awds.jpg
Adventure,Atari 2600,Action-Adventure,Atari,"Sears, Roebuck and Co.",https://www.giantbomb.com/a/uploads/square_avatar/0/5278/288398-adventure.jpg
Adventure Island Classic,Nintendo Entertainment System,Action,"Hudson Entertainment, Inc.","Hudson Entertainment, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361114-nes_adventureisland.jpg
Adventure Time: Explore the Dungeon Because I DON’T KNOW!,Wii U,Action,WayForward Technologies,Bandai Namco Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2549834-box_atimeetd.png
Adventure Time: Finn and Jake Investigations,Wii U,Role-Playing,"Vicious Cycle Software, Inc.",Little Orbit,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2996054-box_atfaji.png
Adventures in the Magic Kingdom,Nintendo Entertainment System,Action,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361119-nes_adventuresinthemagickingdom.jpg
Adventures of Lolo,Nintendo Entertainment System,Action,"HAL Laboratory, Inc.","HAL Laboratory, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2361122-nes_theadventuresoflolo.jpg
Adventures of Tron,Atari 2600,Action,APh Technological Consulting,Mattel Electronics,https://www.giantbomb.com/a/uploads/square_avatar/0/5278/316921-tron.jpg
AeroFighters Assault,Nintendo 64,Simulation,Paradigm Entertainment Inc.,"Video System Co., Ltd.",https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2937581-box_afa.png
After Burner,Sega Master System,Action,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/0/3413/207857-after_burner.jpg
Air-Sea Battle,Atari 2600,Action,Atari,"Sears, Roebuck and Co.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367667-a2600_airseabattlevcs.jpg
